"","root","type","domain","rank_I","rank_II","rank_III","rank_IV","rank_V","rank_VI","rank_VII","rank_VIII","rank_IX","rank_X","rank_XI"
"ASV14","root","Main genome","Eukaryota","SAR","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified"
"ASV15","root","Main genome","Eukaryota","Amorphea","Metazoa","Annelida","Polychaeta","Capitellida","Capitellidae","Capitellidae_unclassified","Capitellidae_unclassified","Capitellidae_unclassified","Capitellidae_unclassified","Capitellidae_unclassified"
"ASV16","root","Main genome","Eukaryota","SAR","Stramenopiles","Pseudofungi","Oomycota","Oomycota_unclassified","Oomycota_unclassified","Oomycota_unclassified","Oomycota_unclassified","Oomycota_unclassified","Oomycota_unclassified","Oomycota_unclassified"
"ASV17","root","Main genome","Eukaryota","SAR","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified"
"ASV18","root","Main genome","Eukaryota","Amorphea","Metazoa","Mollusca","Gastropoda","Caenogastropoda","Hydrobiidae","Peringia","Peringia ulvae","Peringia ulvae_unclassified","Peringia ulvae_unclassified","Peringia ulvae_unclassified"
"ASV19","root","Main genome","Eukaryota","SAR","Stramenopiles","Pseudofungi","Oomycota","Oomycota_unclassified","Oomycota_unclassified","Oomycota_unclassified","Oomycota_unclassified","Oomycota_unclassified","Oomycota_unclassified","Oomycota_unclassified"
"ASV20","root","Main genome","Eukaryota","SAR","Stramenopiles","Pseudofungi","Oomycota","Oomycota_unclassified","Oomycota_unclassified","Oomycota_unclassified","Oomycota_unclassified","Oomycota_unclassified","Oomycota_unclassified","Oomycota_unclassified"
"ASV21","root","Main genome","Eukaryota","Amorphea","Metazoa","Arthropoda","Ostracoda","Podocopida","Podocopida_unclassified","Podocopida_unclassified","Podocopida_unclassified","Podocopida_unclassified","Podocopida_unclassified","Podocopida_unclassified"
"ASV22","root","Main genome","Eukaryota","Amorphea","Metazoa","Bryozoa","Gymnolaemata","Cheilostomatida","Cheilostomatida_unclassified","Cheilostomatida_unclassified","Cheilostomatida_unclassified","Cheilostomatida_unclassified","Cheilostomatida_unclassified","Cheilostomatida_unclassified"
"ASV23","root","Main genome","Eukaryota","SAR","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified"
"ASV24","root","Main genome","Eukaryota","SAR","Stramenopiles","Ochrophyta","Bacillariophyta","Araphid-pennate","Araphid-pennate_unclassified","Araphid-pennate_unclassified","Araphid-pennate_unclassified","Araphid-pennate_unclassified","Araphid-pennate_unclassified","Araphid-pennate_unclassified"
"ASV25","root","Main genome","Eukaryota","SAR","Stramenopiles","Ochrophyta","Phaeophyceae","Phaeophyceae_unclassified","Phaeophyceae_unclassified","Phaeophyceae_unclassified","Phaeophyceae_unclassified","Phaeophyceae_unclassified","Phaeophyceae_unclassified","Phaeophyceae_unclassified"
"ASV26","root","Main genome","Eukaryota","Amorphea","Metazoa","Arthropoda","Ostracoda","Podocopida","Cytheruridae","Cytheruridae_unclassified","Cytheruridae_unclassified","Cytheruridae_unclassified","Cytheruridae_unclassified","Cytheruridae_unclassified"
"ASV28","root","Main genome","Eukaryota","Amorphea","Metazoa","Arthropoda","Ostracoda","Podocopida","Podocopida_unclassified","Podocopida_unclassified","Podocopida_unclassified","Podocopida_unclassified","Podocopida_unclassified","Podocopida_unclassified"
"ASV29","root","Main genome","Eukaryota","Amorphea","Metazoa","Annelida","Polychaeta","Spionida","Spionidae","Polydora","Polydora_unclassified","Polydora_unclassified","Polydora_unclassified","Polydora_unclassified"
"ASV30","root","Main genome","Eukaryota","SAR","Stramenopiles","Ochrophyta","Bacillariophyta","Araphid-pennate","Tabularia","Tabularia_unclassified","Tabularia_unclassified","Tabularia_unclassified","Tabularia_unclassified","Tabularia_unclassified"
"ASV31","root","Main genome","Eukaryota","Amorphea","Metazoa","Annelida","Polychaeta","Spionida","Spionidae","Marenzelleria","Marenzelleria viridis","Marenzelleria viridis_unclassified","Marenzelleria viridis_unclassified","Marenzelleria viridis_unclassified"
"ASV33","root","Main genome","Eukaryota","SAR","Stramenopiles","Pseudofungi","Oomycota","Oomycota_unclassified","Oomycota_unclassified","Oomycota_unclassified","Oomycota_unclassified","Oomycota_unclassified","Oomycota_unclassified","Oomycota_unclassified"
"ASV34","root","Main genome","Eukaryota","Amorphea","Metazoa","Bryozoa","Gymnolaemata","Cheilostomatida","Cheilostomatida_unclassified","Cheilostomatida_unclassified","Cheilostomatida_unclassified","Cheilostomatida_unclassified","Cheilostomatida_unclassified","Cheilostomatida_unclassified"
"ASV35","root","Main genome","Eukaryota","SAR","Stramenopiles","Stramenopiles_unclassified","Stramenopiles_unclassified","Stramenopiles_unclassified","Stramenopiles_unclassified","Stramenopiles_unclassified","Stramenopiles_unclassified","Stramenopiles_unclassified","Stramenopiles_unclassified","Stramenopiles_unclassified"
"ASV36","root","Main genome","Eukaryota","Amorphea","Metazoa","Mollusca","Gastropoda","Caenogastropoda","Hydrobiidae","Peringia","Peringia ulvae","Peringia ulvae_unclassified","Peringia ulvae_unclassified","Peringia ulvae_unclassified"
"ASV37","root","Main genome","Eukaryota","Amorphea","Metazoa","Arthropoda","Ostracoda","Podocopida","Paradoxostomatidae","Paradoxostomatidae_unclassified","Paradoxostomatidae_unclassified","Paradoxostomatidae_unclassified","Paradoxostomatidae_unclassified","Paradoxostomatidae_unclassified"
"ASV38","root","Main genome","Eukaryota","SAR","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified"
"ASV39","root","Main genome","Eukaryota","SAR","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified"
"ASV40","root","Main genome","Eukaryota","SAR","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified"
"ASV41","root","Main genome","Eukaryota","Amorphea","Metazoa","Chordata","Ascidiacea","Stolidobranchia","Styelidae","Styelidae_unclassified","Styelidae_unclassified","Styelidae_unclassified","Styelidae_unclassified","Styelidae_unclassified"
"ASV42","root","Main genome","Eukaryota","SAR","Stramenopiles","Ochrophyta","Bacillariophyta","Polar-centric-Mediophyceae","Polar-centric-Mediophyceae_unclassified","Polar-centric-Mediophyceae_unclassified","Polar-centric-Mediophyceae_unclassified","Polar-centric-Mediophyceae_unclassified","Polar-centric-Mediophyceae_unclassified","Polar-centric-Mediophyceae_unclassified"
"ASV43","root","Main genome","Eukaryota","SAR","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified"
"ASV44","root","Main genome","Eukaryota","Amorphea","Metazoa","Cnidaria","Anthozoa","Actiniaria","Actiniaria_unclassified","Actiniaria_unclassified","Actiniaria_unclassified","Actiniaria_unclassified","Actiniaria_unclassified","Actiniaria_unclassified"
"ASV45","root","Main genome","Eukaryota","SAR","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified"
"ASV46","root","Main genome","Eukaryota","SAR","Alveolata","Alveolata_unclassified","Alveolata_unclassified","Alveolata_unclassified","Alveolata_unclassified","Alveolata_unclassified","Alveolata_unclassified","Alveolata_unclassified","Alveolata_unclassified","Alveolata_unclassified"
"ASV47","root","Main genome","Eukaryota","SAR","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified"
"ASV48","root","Main genome","Eukaryota","Amorphea","Metazoa","Platyhelminthes","Rhabditophora","Rhabdocoela","Rhabdocoela_unclassified","Rhabdocoela_unclassified","Rhabdocoela_unclassified","Rhabdocoela_unclassified","Rhabdocoela_unclassified","Rhabdocoela_unclassified"
"ASV50","root","Main genome","Eukaryota","SAR","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified"
"ASV51","root","Main genome","Eukaryota","Amorphea","Metazoa","Arthropoda","Maxillopoda","Calanoida","Acartiidae","Acartia","Acartia_unclassified","Acartia_unclassified","Acartia_unclassified","Acartia_unclassified"
"ASV52","root","Main genome","Eukaryota","Amorphea","Metazoa","Arthropoda","Ostracoda","Podocopida","Paradoxostomatidae","Paradoxostomatidae_unclassified","Paradoxostomatidae_unclassified","Paradoxostomatidae_unclassified","Paradoxostomatidae_unclassified","Paradoxostomatidae_unclassified"
"ASV53","root","Main genome","Eukaryota","Amorphea","Metazoa","Cnidaria","Hydrozoa","Leptothecata","Campanulariidae","Laomedea","Laomedea_unclassified","Laomedea_unclassified","Laomedea_unclassified","Laomedea_unclassified"
"ASV54","root","Main genome","Eukaryota","Amorphea","Metazoa","Annelida","Polychaeta","Spionida","Spionidae","Pygospio","Pygospio elegans","Pygospio elegans_unclassified","Pygospio elegans_unclassified","Pygospio elegans_unclassified"
"ASV55","root","Main genome","Eukaryota","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified"
"ASV56","root","Main genome","Eukaryota","SAR","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified"
"ASV57","root","Main genome","Eukaryota","SAR","Stramenopiles","Pseudofungi","Oomycota","Oomycota_unclassified","Oomycota_unclassified","Oomycota_unclassified","Oomycota_unclassified","Oomycota_unclassified","Oomycota_unclassified","Oomycota_unclassified"
"ASV58","root","Main genome","Eukaryota","Archaeplastida","Chloroplastida","Chlorophyta","Chlorophyceae","Sphaeropleales","Sphaeropleales X","Sphaeropleales X_unclassified","Sphaeropleales X_unclassified","Sphaeropleales X_unclassified","Sphaeropleales X_unclassified","Sphaeropleales X_unclassified"
"ASV60","root","Main genome","Eukaryota","Amorphea","Metazoa","Nematoda","Enoplea","Enoplida","Oncholaimidae","unclassified Oncholaimidae","unclassified Oncholaimidae_unclassified","unclassified Oncholaimidae_unclassified","unclassified Oncholaimidae_unclassified","unclassified Oncholaimidae_unclassified"
"ASV61","root","Main genome","Eukaryota","Amorphea","Metazoa","Annelida","Polychaeta","Capitellida","Capitellidae","Capitellidae_unclassified","Capitellidae_unclassified","Capitellidae_unclassified","Capitellidae_unclassified","Capitellidae_unclassified"
"ASV62","root","Main genome","Eukaryota","SAR","Stramenopiles","Ochrophyta","Bacillariophyta","Araphid-pennate","Araphid-pennate_unclassified","Araphid-pennate_unclassified","Araphid-pennate_unclassified","Araphid-pennate_unclassified","Araphid-pennate_unclassified","Araphid-pennate_unclassified"
"ASV63","root","Main genome","Eukaryota","SAR","Alveolata","Dinoflagellata","Dinoflagellata_unclassified","Dinoflagellata_unclassified","Dinoflagellata_unclassified","Dinoflagellata_unclassified","Dinoflagellata_unclassified","Dinoflagellata_unclassified","Dinoflagellata_unclassified","Dinoflagellata_unclassified"
"ASV64","root","Main genome","Eukaryota","Amorphea","Metazoa","Arthropoda","Maxillopoda","Harpacticoida","Harpacticoida_unclassified","Harpacticoida_unclassified","Harpacticoida_unclassified","Harpacticoida_unclassified","Harpacticoida_unclassified","Harpacticoida_unclassified"
"ASV65","root","Main genome","Eukaryota","SAR","Alveolata","Dinoflagellata","Dinophyceae","Dinophyceae_unclassified","Dinophyceae_unclassified","Dinophyceae_unclassified","Dinophyceae_unclassified","Dinophyceae_unclassified","Dinophyceae_unclassified","Dinophyceae_unclassified"
"ASV66","root","Main genome","Eukaryota","Archaeplastida","Chloroplastida","Chlorophyta","Ulvophyceae","Ulvophyceae_unclassified","Ulvophyceae_unclassified","Ulvophyceae_unclassified","Ulvophyceae_unclassified","Ulvophyceae_unclassified","Ulvophyceae_unclassified","Ulvophyceae_unclassified"
"ASV67","root","Main genome","Eukaryota","Amorphea","Metazoa","Annelida","Polychaeta","Phyllodocida","Nereididae","Alitta","Alitta succinea","Alitta succinea_unclassified","Alitta succinea_unclassified","Alitta succinea_unclassified"
"ASV68","root","Main genome","Eukaryota","Amorphea","Metazoa","Annelida","Polychaeta","Spionida","Spionidae","Spionidae_unclassified","Spionidae_unclassified","Spionidae_unclassified","Spionidae_unclassified","Spionidae_unclassified"
"ASV69","root","Main genome","Eukaryota","Amorphea","Metazoa","Annelida","Oligochaeta","Haplotaxida","Naididae","Tubificoides","Tubificoides_unclassified","Tubificoides_unclassified","Tubificoides_unclassified","Tubificoides_unclassified"
"ASV70","root","Main genome","Eukaryota","Amorphea","Metazoa","Cnidaria","Hydrozoa","Leptothecata","Leptothecata_unclassified","Leptothecata_unclassified","Leptothecata_unclassified","Leptothecata_unclassified","Leptothecata_unclassified","Leptothecata_unclassified"
"ASV71","root","Main genome","Eukaryota","Amorphea","Metazoa","Xenacoelomorpha","Acoela","Otocelididae order incertae sedis","Otocelididae","Otocelis","Otocelis_unclassified","Otocelis_unclassified","Otocelis_unclassified","Otocelis_unclassified"
"ASV72","root","Main genome","Eukaryota","SAR","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified"
"ASV73","root","Main genome","Eukaryota","Amorphea","Metazoa","Annelida","Polychaeta","Phyllodocida","Nereididae","Nereididae_unclassified","Nereididae_unclassified","Nereididae_unclassified","Nereididae_unclassified","Nereididae_unclassified"
"ASV74","root","Main genome","Eukaryota","SAR","Stramenopiles","Ochrophyta","Bacillariophyta","Araphid-pennate","Araphid-pennate_unclassified","Araphid-pennate_unclassified","Araphid-pennate_unclassified","Araphid-pennate_unclassified","Araphid-pennate_unclassified","Araphid-pennate_unclassified"
"ASV76","root","Main genome","Eukaryota","Amorphea","Metazoa","Mollusca","Gastropoda","Caenogastropoda","Hydrobiidae","Peringia","Peringia ulvae","Peringia ulvae_unclassified","Peringia ulvae_unclassified","Peringia ulvae_unclassified"
"ASV77","root","Main genome","Eukaryota","Amorphea","Metazoa","Mollusca","Bivalvia","Veneroida","Veneroida_unclassified","Veneroida_unclassified","Veneroida_unclassified","Veneroida_unclassified","Veneroida_unclassified","Veneroida_unclassified"
"ASV78","root","Main genome","Eukaryota","Archaeplastida","Rhodophyta","Rhodophyta (phylum)","Florideophyceae","Ceramiales","Ceramiaceae","Ceramium","Ceramium_unclassified","Ceramium_unclassified","Ceramium_unclassified","Ceramium_unclassified"
"ASV79","root","Main genome","Eukaryota","SAR","Rhizaria","Cercozoa","Cercozoa_unclassified","Cercozoa_unclassified","Cercozoa_unclassified","Cercozoa_unclassified","Cercozoa_unclassified","Cercozoa_unclassified","Cercozoa_unclassified","Cercozoa_unclassified"
"ASV80","root","Main genome","Eukaryota","Amorphea","Metazoa","Metazoa_unclassified","Metazoa_unclassified","Metazoa_unclassified","Metazoa_unclassified","Metazoa_unclassified","Metazoa_unclassified","Metazoa_unclassified","Metazoa_unclassified","Metazoa_unclassified"
"ASV81","root","Main genome","Eukaryota","Amorphea","Metazoa","Nematoda","Chromadorea","Desmodorida","Desmodorida_unclassified","Desmodorida_unclassified","Desmodorida_unclassified","Desmodorida_unclassified","Desmodorida_unclassified","Desmodorida_unclassified"
"ASV83","root","Main genome","Eukaryota","Amorphea","Metazoa","Annelida","Polychaeta","Capitellida","Capitellida_unclassified","Capitellida_unclassified","Capitellida_unclassified","Capitellida_unclassified","Capitellida_unclassified","Capitellida_unclassified"
"ASV84","root","Main genome","Eukaryota","Amorphea","Metazoa","Arthropoda","Maxillopoda","Sessilia","Balanidae","Amphibalanus","Amphibalanus_unclassified","Amphibalanus_unclassified","Amphibalanus_unclassified","Amphibalanus_unclassified"
"ASV85","root","Main genome","Eukaryota","Archaeplastida","Chloroplastida","Chlorophyta","Trebouxiophyceae","Chlorellales","Chlorellales_unclassified","Chlorellales_unclassified","Chlorellales_unclassified","Chlorellales_unclassified","Chlorellales_unclassified","Chlorellales_unclassified"
"ASV86","root","Main genome","Eukaryota","Archaeplastida","Chloroplastida","Chlorophyta","Trebouxiophyceae","Trebouxiophyceae_unclassified","Trebouxiophyceae_unclassified","Trebouxiophyceae_unclassified","Trebouxiophyceae_unclassified","Trebouxiophyceae_unclassified","Trebouxiophyceae_unclassified","Trebouxiophyceae_unclassified"
"ASV87","root","Main genome","Eukaryota","SAR","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified"
"ASV88","root","Main genome","Eukaryota","Amorphea","Metazoa","Annelida","Polychaeta","Spionida","Cirratulidae","Cirratulidae_unclassified","Cirratulidae_unclassified","Cirratulidae_unclassified","Cirratulidae_unclassified","Cirratulidae_unclassified"
"ASV89","root","Main genome","Eukaryota","Amorphea","Metazoa","Nematoda","Enoplea","Enoplida","Oncholaimidae","Oncholaimidae_unclassified","Oncholaimidae_unclassified","Oncholaimidae_unclassified","Oncholaimidae_unclassified","Oncholaimidae_unclassified"
"ASV90","root","Main genome","Eukaryota","SAR","Stramenopiles","Ochrophyta","Bacillariophyta","Araphid-pennate","Araphid-pennate_unclassified","Araphid-pennate_unclassified","Araphid-pennate_unclassified","Araphid-pennate_unclassified","Araphid-pennate_unclassified","Araphid-pennate_unclassified"
"ASV91","root","Main genome","Eukaryota","Archaeplastida","Chloroplastida","Chlorophyta","Trebouxiophyceae","Trebouxiophyceae_unclassified","Trebouxiophyceae_unclassified","Trebouxiophyceae_unclassified","Trebouxiophyceae_unclassified","Trebouxiophyceae_unclassified","Trebouxiophyceae_unclassified","Trebouxiophyceae_unclassified"
"ASV92","root","Main genome","Eukaryota","SAR","Rhizaria","Cercozoa","Endomyxa-Phytomyxea","Phagomyxida","Phagomyxida_unclassified","Phagomyxida_unclassified","Phagomyxida_unclassified","Phagomyxida_unclassified","Phagomyxida_unclassified","Phagomyxida_unclassified"
"ASV93","root","Main genome","Eukaryota","Amorphea","Metazoa","Cnidaria","Hydrozoa","Hydrozoa_unclassified","Hydrozoa_unclassified","Hydrozoa_unclassified","Hydrozoa_unclassified","Hydrozoa_unclassified","Hydrozoa_unclassified","Hydrozoa_unclassified"
"ASV94","root","Main genome","Eukaryota","SAR","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified"
"ASV95","root","Main genome","Eukaryota","Amorphea","Metazoa","Annelida","Polychaeta","Phyllodocida","Phyllodocida_unclassified","Phyllodocida_unclassified","Phyllodocida_unclassified","Phyllodocida_unclassified","Phyllodocida_unclassified","Phyllodocida_unclassified"
"ASV96","root","Main genome","Eukaryota","Amorphea","Metazoa","Gastrotricha","Chaetonotida class incertae sedis","Chaetonotida","Chaetonotidae","Heterolepidoderma","Heterolepidoderma_unclassified","Heterolepidoderma_unclassified","Heterolepidoderma_unclassified","Heterolepidoderma_unclassified"
"ASV97","root","Main genome","Eukaryota","Amorphea","Metazoa","Metazoa_unclassified","Metazoa_unclassified","Metazoa_unclassified","Metazoa_unclassified","Metazoa_unclassified","Metazoa_unclassified","Metazoa_unclassified","Metazoa_unclassified","Metazoa_unclassified"
"ASV98","root","Main genome","Eukaryota","SAR","Rhizaria","Cercozoa","Endomyxa-Phytomyxea","Phagomyxida","Phagomyxida_unclassified","Phagomyxida_unclassified","Phagomyxida_unclassified","Phagomyxida_unclassified","Phagomyxida_unclassified","Phagomyxida_unclassified"
"ASV99","root","Main genome","Eukaryota","SAR","Stramenopiles","Ochrophyta","Eustigmatophyceae","Eustigmatophyceae X","Eustigmatophyceae XX","Monodus","Monodus sp.","Monodus sp._unclassified","Monodus sp._unclassified","Monodus sp._unclassified"
"ASV100","root","Main genome","Eukaryota","Amorphea","Metazoa","Nematoda","Chromadorea","Monhysterida","Monhysterida_unclassified","Monhysterida_unclassified","Monhysterida_unclassified","Monhysterida_unclassified","Monhysterida_unclassified","Monhysterida_unclassified"
"ASV101","root","Main genome","Eukaryota","SAR","Stramenopiles","Ochrophyta","Bacillariophyta","Araphid-pennate","Araphid-pennate_unclassified","Araphid-pennate_unclassified","Araphid-pennate_unclassified","Araphid-pennate_unclassified","Araphid-pennate_unclassified","Araphid-pennate_unclassified"
"ASV102","root","Main genome","Eukaryota","SAR","Stramenopiles","Ochrophyta","Bacillariophyta","Araphid-pennate","Araphid-pennate_unclassified","Araphid-pennate_unclassified","Araphid-pennate_unclassified","Araphid-pennate_unclassified","Araphid-pennate_unclassified","Araphid-pennate_unclassified"
"ASV103","root","Main genome","Eukaryota","SAR","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified"
"ASV104","root","Main genome","Eukaryota","SAR","Stramenopiles","Ochrophyta","Bacillariophyta","Hippodonta","Hippodonta capitata family incertae sedis","Hippodonta capitata genus incertae sedis","Hippodonta capitata","Hippodonta capitata_unclassified","Hippodonta capitata_unclassified","Hippodonta capitata_unclassified"
"ASV105","root","Main genome","Eukaryota","Excavata","Discoba","Diplonemea","Diplonemea_unclassified","Diplonemea_unclassified","Diplonemea_unclassified","Diplonemea_unclassified","Diplonemea_unclassified","Diplonemea_unclassified","Diplonemea_unclassified","Diplonemea_unclassified"
"ASV106","root","Main genome","Eukaryota","Amorphea","Metazoa","Mollusca","Bivalvia","Veneroida","Veneroida_unclassified","Veneroida_unclassified","Veneroida_unclassified","Veneroida_unclassified","Veneroida_unclassified","Veneroida_unclassified"
"ASV107","root","Main genome","Eukaryota","Amorphea","Metazoa","Nematoda","Chromadorea","Chromadorida","Chromadoridae","unclassified Chromadoridae","unclassified Chromadoridae_unclassified","unclassified Chromadoridae_unclassified","unclassified Chromadoridae_unclassified","unclassified Chromadoridae_unclassified"
"ASV108","root","Main genome","Eukaryota","Amorphea","Metazoa","Annelida","Oligochaeta","Haplotaxida","Haplotaxida_unclassified","Haplotaxida_unclassified","Haplotaxida_unclassified","Haplotaxida_unclassified","Haplotaxida_unclassified","Haplotaxida_unclassified"
"ASV109","root","Main genome","Eukaryota","Amorphea","Metazoa","Platyhelminthes","Rhabditophora","Rhabdocoela","Provorticidae","Provortex","Provortex_unclassified","Provortex_unclassified","Provortex_unclassified","Provortex_unclassified"
